代码,名称,信号日期,选股逻辑,初始价,当前价,累计涨跌%,3天胜,7天胜,至今胜
002951,金时科技,2025-12-17,超跌+筑底,13.0,16.07,23.62,1,1,1
603818,曲美家居,2025-12-17,超跌+筑底,3.55,3.65,2.82,1,1,1
002017,东信和平,2025-12-17,放量,20.9,21.6,3.35,1,1,1
002530,金财互联,2025-12-17,放量,9.8,10.32,5.31,1,1,1
000617,中油资本,2025-12-17,常规,9.06,9.54,5.3,1,1,1
605286,同力日升,2025-12-17,超跌+筑底+放量,37.68,38.03,0.93,0,1,1
002674,兴业科技,2025-12-17,常规,12.92,13.87,7.35,1,1,1
000702,正虹科技,2025-12-17,超跌+筑底+放量,6.56,6.67,1.68,1,1,1
600560,金自天正,2025-12-17,超跌+筑底,15.55,16.01,2.96,1,1,1
603605,珀莱雅,2025-12-17,筑底,67.78,67.88,0.15,1,1,1
002037,保利联合,2025-12-17,筑底+放量,9.39,9.63,2.56,1,1,1
002959,小熊电器,2025-12-17,常规,42.93,42.78,-0.35,1,0,0
600749,西藏旅游,2025-12-17,筑底,16.86,16.96,0.59,1,1,1
003040,楚天龙,2025-12-17,放量,18.34,19.34,5.45,0,1,1
600178,东安动力,2025-12-17,超跌,11.6,11.96,3.1,1,1,1
002324,普利特,2025-12-17,筑底,12.34,14.81,20.02,1,1,1
000401,金隅冀东,2025-12-17,常规,4.45,4.48,0.67,1,1,1
601718,际华集团,2025-12-17,超跌+筑底,3.33,3.4,2.1,1,1,1
601162,天风证券,2025-12-19,筑底,4.21,4.24,0.71,0,1,1
603867,新化股份,2025-12-19,筑底,24.85,25.1,1.01,0,1,1
603255,鼎际得,2025-12-19,超跌+筑底,29.5,29.56,0.2,1,1,1
600779,水井坊,2025-12-19,筑底+放量,36.56,39.8,8.86,0,1,1
002062,宏润建设,2025-12-19,筑底,9.12,9.12,0.0,0,0,0
000831,中国稀土,2025-12-19,常规,45.15,46.48,2.95,1,1,1
002145,钛能化学,2025-12-19,常规,4.87,4.91,0.82,1,1,1
603786,科博达,2025-12-19,放量,72.72,75.81,4.25,0,1,1
603722,阿科力,2025-12-19,超跌+筑底,37.19,37.8,1.64,0,1,1
603630,拉芳家化,2025-12-19,常规,20.61,20.23,-1.84,0,0,0
605588,冠石科技,2025-12-19,常规,49.37,52.0,5.33,1,1,1
603086,先达股份,2025-12-19,常规,8.17,8.26,1.1,1,1,1
600422,昆药集团,2025-12-19,超跌+筑底,12.46,12.66,1.61,0,1,1
603859,能科科技,2025-12-19,常规,39.26,39.36,0.25,0,1,1
002542,中化岩土,2025-12-19,筑底,3.38,3.41,0.89,0,1,1
302132,中航成飞,2025-12-19,常规,76.69,78.65,2.56,0,1,1
605259,绿田机械,2025-12-19,常规,21.43,22.42,4.62,1,1,1
603867,新化股份,2025-12-17,超跌+筑底,24.14,25.1,3.98,1,1,1
002869,金溢科技,2025-12-17,筑底+放量,22.87,24.15,5.6,1,1,1
601127,赛力斯,2025-12-17,常规,121.55,119.11,-2.01,0,0,0
000661,长春高新,2025-12-18,常规,95.36,94.57,-0.83,0,0,0
