触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 两连阴 (-4.79%, -1.60%)",1,10.87,10.87,100.0%
"形态: 两连阴 (-0.88%, -2.66%)",1,10.81,10.81,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.00%, -1.65%)",1,10.8,15.77,100.0%
"形态: 两连阴 (-0.80%, -1.37%)",1,10.74,10.74,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.55%, -3.21%) | 趋势: 高于MA20",1,10.72,10.72,100.0%
"形态: 两连阴 (-1.43%, -2.08%)",1,10.65,10.78,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.58%, -0.87%)",1,10.57,10.57,100.0%
"形态: 两连阴 (-5.84%, -3.64%)",1,10.52,16.55,100.0%
量能: 放量 (2.48X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.49,15.25,100.0%
"形态: 两连阴 (-1.37%, -1.96%)",1,10.47,10.47,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.00%, -2.64%)",1,10.47,13.74,100.0%
"量能: 放量 (1.79X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.33%, -1.97%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,10.43,10.43,100.0%
"形态: 两连阴 (-2.10%, -0.68%)",1,10.37,19.51,100.0%
量能: 放量 (2.69X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.36,10.83,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-9.98%, -6.72%)",1,10.25,10.25,100.0%
"形态: 两连阴 (-2.70%, -2.08%)",1,10.24,15.6,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-8.44%, -2.98%) | 趋势: 高于MA20",1,10.19,10.19,100.0%
量能: 放量 (1.73X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,10.07,10.07,100.0%
"形态: 两连阴 (-0.21%, -2.75%)",1,10.06,15.38,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.65%, -3.26%)",1,10.02,10.02,100.0%
"形态: 两连阴 (-0.64%, -3.12%)",1,10.01,23.01,100.0%
"形态: 两连阴 (-1.80%, -3.66%)",1,10.01,10.01,100.0%
量能: 放量 (2.06X) | 形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),1,9.92,9.92,100.0%
"量能: 放量 (2.24X) | 形态: 两连阴 (-1.60%, -1.37%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,9.87,10.0,100.0%
量能: 放量 (2.30X),1,9.85,12.14,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.88%, -9.91%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,9.82,10.0,100.0%
"形态: 两连阴 (-3.26%, -0.76%)",1,9.75,15.41,100.0%
"形态: 两连阴 (-0.13%, -3.60%)",1,9.74,9.74,100.0%
"形态: 两连阴 (-1.22%, -3.35%)",1,9.73,12.79,100.0%
"形态: 两连阴 (-3.28%, -4.32%)",1,9.58,10.24,100.0%
"形态: 两连阴 (-3.66%, -1.00%)",1,9.57,9.57,100.0%
"形态: 两连阴 (-0.48%, -0.40%)",1,9.56,9.56,100.0%
"形态: 两连阴 (-5.96%, -4.90%)",1,9.54,10.69,100.0%
"形态: 两连阴 (-4.18%, -1.44%)",1,9.38,9.38,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-8.54%, -2.29%)",1,9.35,10.85,100.0%
"形态: 两连阴 (-3.99%, -0.85%)",1,9.3,13.03,100.0%
"形态: 两连阴 (-1.76%, -0.60%)",1,9.29,146.75,100.0%
"形态: 两连阴 (-0.68%, -1.03%)",1,9.22,18.28,100.0%
"形态: 两连阴 (-2.78%, -5.23%)",1,9.2,9.52,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.99%, -2.52%) | 趋势: 高于MA20",1,9.19,13.3,100.0%
"形态: 两连阴 (-2.49%, -2.01%)",1,9.17,11.48,100.0%
"形态: 两连阴 (-3.57%, -0.31%)",1,9.15,9.15,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-8.70%, -0.55%) | 趋势: 高于MA20",1,8.99,8.99,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.83%, -1.13%)",1,8.97,8.97,100.0%
量能: 放量 (1.68X) | 动量: 突破转强 (阳线上穿5/10),3,8.963333333333333,12.073333333333332,33.33%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.88%, -3.95%) | 趋势: 高于MA20",1,8.96,25.53,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-8.13%, -4.42%)",1,8.95,14.77,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.37%, -1.98%) | 趋势: 高于MA20",1,8.89,8.89,100.0%
量能: 放量 (2.03X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,8.87,8.87,100.0%
"形态: 两连阴 (-2.16%, -1.64%)",1,8.87,15.8,100.0%
"形态: 两连阴 (-2.35%, -1.87%)",1,8.82,16.95,100.0%
"形态: 两连阴 (-0.56%, -0.56%) | 动量: 突破转强 (阳线上穿5/10)",1,8.81,8.81,100.0%
"形态: 两连阴 (-0.25%, -2.17%) | 动量: 突破转强 (阳线上穿5/10)",1,8.71,9.38,100.0%
