代码,名称,信号日期,距今,初始价,当前价,累计涨跌%,最大回撤%,量能状态,涨跌原因分析
600481,双良节能,2025-12-11,12天,5.56,5.55,-0.18,-3.6,缩量,成交乏力
605378,野马电池,2025-12-17,6天,22.55,22.51,-0.18,-2.93,持平,平稳波动
000661,长春高新,2025-12-18,5天,95.36,95.19,-0.18,-0.69,缩量,成交乏力
600383,金地集团,2025-12-11,12天,3.17,3.16,-0.32,-3.15,缩量,成交乏力
000661,长春高新,2025-12-16,7天,95.53,95.19,-0.36,-2.85,放量,资金流入
605333,沪光股份,2025-11-28,25天,29.3,29.19,-0.38,-3.0,放量,冲高回落 | 资金流入
603086,先达股份,2025-12-09,14天,8.23,8.19,-0.49,-6.2,缩量,成交乏力
603086,先达股份,2025-12-09,14天,8.23,8.19,-0.49,-6.2,缩量,成交乏力
002694,顾地科技,2025-12-16,7天,3.92,3.9,-0.51,-2.81,缩量,成交乏力
302132,中航成飞,2025-12-19,4天,76.69,76.25,-0.57,-1.03,缩量,成交乏力
302132,中航成飞,2025-12-19,4天,76.69,76.25,-0.57,-1.03,缩量,成交乏力
302132,中航成飞,2025-12-19,4天,76.69,76.25,-0.57,-1.03,缩量,成交乏力
603630,拉芳家化,2025-12-19,4天,20.61,20.49,-0.58,-3.78,持平,平稳波动
603630,拉芳家化,2025-12-19,4天,20.61,20.49,-0.58,-3.78,持平,平稳波动
603630,拉芳家化,2025-12-19,4天,20.61,20.49,-0.58,-3.78,持平,平稳波动
600985,淮北矿业,2025-12-15,8天,11.47,11.4,-0.61,-2.35,缩量,成交乏力
000989,九芝堂,2025-12-11,12天,9.09,9.03,-0.66,-4.84,持平,平稳波动
001289,龙源电力,2025-12-12,11天,15.33,15.22,-0.72,-2.35,放量,资金流入
001289,龙源电力,2025-12-12,11天,15.33,15.22,-0.72,-2.35,放量,资金流入
600548,深高速,2025-12-16,7天,8.96,8.89,-0.78,-2.57,缩量,成交乏力
600326,西藏天路,2025-12-15,8天,11.01,10.92,-0.82,-4.36,放量,资金流入
600131,国网信通,2025-12-15,8天,16.19,16.05,-0.86,-2.53,持平,平稳波动
000799,酒鬼酒,2025-12-10,13天,56.06,55.58,-0.86,-3.59,放量,冲高回落 | 资金流入
603950,长源东谷,2025-12-03,20天,29.86,29.6,-0.87,-7.74,放量,冲高回落 | 资金流入
601098,中南传媒,2025-12-02,21天,11.17,11.07,-0.9,-1.61,持平,平稳波动
600967,内蒙一机,2025-12-12,11天,16.42,16.27,-0.91,-6.52,放量,资金流入
600325,华发股份,2025-12-12,11天,4.41,4.37,-0.91,-4.08,持平,平稳波动
600967,内蒙一机,2025-12-12,11天,16.42,16.27,-0.91,-6.52,放量,资金流入
600325,华发股份,2025-12-12,11天,4.41,4.37,-0.91,-4.08,持平,平稳波动
600446,金证股份,2025-12-02,21天,15.67,15.52,-0.96,-4.47,持平,平稳波动
600375,汉马科技,2025-12-10,13天,6.17,6.11,-0.97,-7.62,持平,平稳波动
603630,拉芳家化,2025-12-10,13天,20.7,20.49,-1.01,-5.22,放量,资金流入
603486,科沃斯,2025-12-04,19天,79.88,79.0,-1.1,-3.99,持平,平稳波动
002423,中粮资本,2025-12-03,20天,11.75,11.62,-1.11,-4.68,放量,资金流入
600325,华发股份,2025-12-11,12天,4.42,4.37,-1.13,-4.3,持平,平稳波动
600985,淮北矿业,2025-12-10,13天,11.53,11.4,-1.13,-2.86,持平,平稳波动
000568,泸州老窖,2025-12-15,8天,122.81,121.33,-1.21,-1.68,缩量,成交乏力
600048,保利发展,2025-12-12,11天,6.42,6.34,-1.25,-3.58,缩量,成交乏力
600048,保利发展,2025-12-11,12天,6.42,6.34,-1.25,-3.58,持平,平稳波动
600048,保利发展,2025-12-12,11天,6.42,6.34,-1.25,-3.58,缩量,成交乏力
603416,信捷电气,2025-12-04,19天,54.0,53.31,-1.28,-3.7,持平,冲高回落
605286,同力日升,2025-12-17,6天,37.68,37.19,-1.3,-5.1,持平,平稳波动
605286,同力日升,2025-12-17,6天,37.68,37.19,-1.3,-5.1,持平,平稳波动
002488,金固股份,2025-12-15,8天,8.33,8.21,-1.44,-7.68,缩量,成交乏力
605050,福然德,2025-12-10,13天,13.12,12.93,-1.45,-5.49,持平,平稳波动
601127,赛力斯,2025-12-16,7天,123.31,121.42,-1.53,-3.63,持平,平稳波动
002488,金固股份,2025-12-10,13天,8.35,8.21,-1.68,-7.9,放量,冲高回落 | 资金流入
603275,众辰科技,2025-12-10,13天,42.18,41.47,-1.68,-6.42,持平,平稳波动
603806,福斯特,2025-12-15,8天,13.58,13.35,-1.69,-4.49,持平,平稳波动
002488,金固股份,2025-12-11,12天,8.36,8.21,-1.79,-8.01,放量,冲高回落 | 资金流入
000002,万  科Ａ,2025-12-12,11天,5.02,4.93,-1.79,-4.38,缩量,成交乏力
000002,万  科Ａ,2025-12-12,11天,5.02,4.93,-1.79,-4.38,缩量,成交乏力
601519,大智慧,2025-12-09,14天,13.13,12.89,-1.83,-4.04,缩量,成交乏力
601162,天风证券,2025-12-09,14天,4.29,4.21,-1.86,-5.59,缩量,成交乏力
601162,天风证券,2025-12-09,14天,4.29,4.21,-1.86,-5.59,缩量,成交乏力
600153,建发股份,2025-12-11,12天,9.5,9.32,-1.89,-2.21,持平,平稳波动
002945,华林证券,2025-12-09,14天,14.66,14.35,-2.11,-4.43,持平,平稳波动
601699,潞安环能,2025-12-15,8天,12.47,12.2,-2.17,-4.57,缩量,成交乏力
000006,深振业Ａ,2025-12-11,12天,10.0,9.78,-2.2,-7.1,持平,平稳波动
603567,珍宝岛,2025-12-04,19天,10.06,9.83,-2.29,-5.07,放量,资金流入
600708,光明地产,2025-12-10,13天,3.32,3.23,-2.71,-7.83,持平,平稳波动
000002,万  科Ａ,2025-12-11,12天,5.07,4.93,-2.76,-5.33,持平,平稳波动
605050,福然德,2025-12-02,21天,13.3,12.93,-2.78,-6.77,持平,平稳波动
605050,福然德,2025-12-02,21天,13.3,12.93,-2.78,-6.77,持平,平稳波动
600481,双良节能,2025-12-10,13天,5.71,5.55,-2.8,-6.13,持平,平稳波动
002694,顾地科技,2025-12-15,8天,4.02,3.9,-2.99,-5.47,持平,平稳波动
002048,宁波华翔,2025-12-09,14天,28.6,27.74,-3.01,-8.88,放量,冲高回落 | 资金流入
600266,城建发展,2025-12-09,14天,4.64,4.5,-3.02,-4.74,持平,平稳波动
002082,万邦德,2025-12-15,8天,12.27,11.89,-3.1,-5.95,持平,平稳波动
600779,水井坊,2025-12-16,7天,37.76,36.53,-3.26,-5.22,放量,资金流入
002664,信质集团,2025-12-04,19天,22.93,22.18,-3.27,-8.24,放量,资金流入
603806,福斯特,2025-12-10,13天,13.83,13.35,-3.47,-6.22,放量,资金流入
002527,新时达,2025-12-09,14天,15.9,15.34,-3.52,-8.55,持平,平稳波动
000029,深深房Ａ,2025-12-09,14天,24.31,23.43,-3.62,-11.07,放量,冲高回落 | 资金流入
600481,双良节能,2025-12-09,14天,5.76,5.55,-3.65,-6.94,持平,平稳波动
603135,中重科技,2025-12-08,15天,9.59,9.24,-3.65,-6.99,放量,冲高回落 | 资金流入
600325,华发股份,2025-12-10,13天,4.54,4.37,-3.74,-6.83,放量,资金流入
603806,福斯特,2025-12-12,11天,13.87,13.35,-3.75,-6.49,放量,资金流入
603806,福斯特,2025-12-12,11天,13.87,13.35,-3.75,-6.49,放量,资金流入
002488,金固股份,2025-12-09,14天,8.54,8.21,-3.86,-9.95,放量,资金流入
600405,动力源,2025-12-04,19天,5.39,5.18,-3.9,-8.53,持平,平稳波动
600779,水井坊,2025-12-15,8天,38.03,36.53,-3.94,-5.89,放量,资金流入
601636,旗滨集团,2025-11-28,25天,6.1,5.85,-4.1,-4.1,持平,平稳波动
600779,水井坊,2025-12-10,13天,38.2,36.53,-4.37,-6.31,放量,资金流入
002102,能特科技,2025-12-04,19天,3.53,3.37,-4.53,-7.08,放量,资金流入
600383,金地集团,2025-12-10,13天,3.32,3.16,-4.82,-7.53,持平,平稳波动
600048,保利发展,2025-12-10,13天,6.68,6.34,-5.09,-7.34,持平,大幅回调
002403,爱仕达,2025-12-04,19天,13.08,12.36,-5.5,-8.94,放量,大幅回调 | 冲高回落 | 资金流入
600603,广汇物流,2025-12-08,15天,6.86,6.48,-5.54,-9.77,持平,大幅回调
002543,万和电气,2025-12-03,20天,10.6,10.01,-5.57,-8.4,放量,大幅回调 | 资金流入
002403,爱仕达,2025-12-08,15天,13.1,12.36,-5.65,-9.08,持平,大幅回调 | 冲高回落
605198,安德利,2025-12-04,19天,38.78,36.59,-5.65,-9.21,放量,大幅回调 | 资金流入
000712,锦龙股份,2025-12-09,14天,12.68,11.93,-5.91,-8.52,放量,大幅回调 | 冲高回落 | 资金流入
605198,安德利,2025-12-03,20天,38.96,36.59,-6.08,-9.63,放量,大幅回调 | 资金流入
000002,万  科Ａ,2025-12-10,13天,5.25,4.93,-6.1,-10.48,持平,大幅回调
002543,万和电气,2025-12-04,19天,10.71,10.01,-6.54,-9.34,放量,大幅回调 | 资金流入
603373,安邦护卫,2025-12-11,12天,41.0,38.23,-6.76,-9.44,持平,大幅回调 | 冲高回落
000818,航锦科技,2025-12-03,20天,20.41,18.99,-6.96,-11.07,持平,大幅回调
601618,中国中冶,2025-12-02,21天,3.24,3.01,-7.1,-10.49,放量,大幅回调 | 冲高回落 | 资金流入
601618,中国中冶,2025-12-02,21天,3.24,3.01,-7.1,-10.49,放量,大幅回调 | 冲高回落 | 资金流入
600530,交大昂立,2025-12-09,14天,7.36,6.72,-8.7,-17.53,放量,大幅回调 | 冲高回落 | 资金流入
603373,安邦护卫,2025-12-10,13天,42.22,38.23,-9.45,-12.06,放量,大幅回调 | 资金流入
603590,康辰药业,2025-12-04,19天,44.96,40.67,-9.54,-9.79,放量,大幅回调 | 冲高回落 | 资金流入
