代码,名称,信号日期,策略类型,信号价,当前总涨跌,平均表现,首次盈利天数,首次亏损天数,持仓天数,走势流,风险预警
002250,联化科技,20260717,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-1.63%,1,4,16,+++---------+-++,正常
603703,盛洋科技,20251220,E_Leader_Restart (二次启动),14.75,-34.51%,-13.64%,10,1,161,---------++++++++++++++++++--++--+-----++++----------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603123,翠微股份,20251220,E_Leader_Restart (二次启动),13.98,-29.47%,-20.86%,30,1,136,-----------------------------+----------------------------------------------------------------------------------------------------------,深度套牢
002355,兴民智通,20251220,E_Leader_Restart (二次启动),6.43,-27.22%,-8.94%,1,8,136,+++++++------+++++++++++++++++++++++++++++++++++--------------------++++++++++----------------------------------------------------------,深度套牢 | 冲高回落
603221,爱丽家居,20251220,E_Leader_Restart (二次启动),13.55,66.35%,-7.62%,9,1,148,--------++++----+-++-++----------------------------------------------------------------------------------------------------------------------+++++++,正常
002587,奥拓电子,20260629,A_Strong_Pullback (中风险接力),7.33,-22.78%,-21.91%,1,3,30,++----------------------------,深度套牢 | 冲高回落
600058,五矿发展,20260629,E_Leader_Restart (二次启动),11.88,-4.88%,-17.19%,从未,1,30,------------------------------,长期未回正
600635,大众公用,20251204,A_Strong_Pullback (中风险接力),8.22,-42.70%,-31.18%,从未,1,163,-------------------------------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002137,实益达,20251204,A_Strong_Pullback (中风险接力),9.47,-15.21%,-5.67%,39,1,164,--------------------------------------+++++++++--+------------------------------------------------------------------+++++++-+++++++++++++++++++++-------------------,深度套牢 | 冲高回落
002520,日发精机,20251204,B_Low_Position_Start (低风险埋伏),6.4,-7.03%,-3.37%,1,4,164,+++---------------------+--------+-------------+++++++--++++++++++--------------------------------+++++++++++-----------+++++++++++++++++++++++---------------------,冲高回落
603711,香飘飘,20251204,E_Leader_Restart (二次启动),15.38,-26.27%,-14.98%,1,2,159,+-+------------------------------------------------------------------------------------------------------+-----------------------------------------------------,深度套牢
603223,恒通股份,20251204,D_Strong_Breakout (高风险追涨/优化),11.45,-5.68%,-16.88%,86,1,139,-------------------------------------------------------------------------------------+-------------------++++++++++++++++------------------,冲高回落
000586,汇源通信,20260416,E_Leader_Restart (二次启动),23.19,-51.06%,-34.08%,从未,1,74,--------------------------------------------------------------------------,长期未回正 | 深度套牢
000026,飞亚达,20260416,E_Leader_Restart (二次启动),16.2,17.72%,19.65%,1,35,78,++++++++++++++++++++++++++++++++++--++++++++++++++++++++++++++-+---+---+-+++++,正常
601098,中南传媒,20260105,B_Low_Position_Start (低风险埋伏),11.26,-6.84%,-3.46%,1,10,139,++++-+-++-----------+---------------------+---------------------------+++++++++-++---------------------------------------------------------,冲高回落
002361,神剑股份,20260105,E_Leader_Restart (二次启动),14.34,-28.52%,1.42%,1,10,152,+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-----------------------------------,深度套牢 | 冲高回落
603332,苏州龙杰,20260105,E_Leader_Restart (二次启动),13.88,-18.08%,-8.88%,10,1,143,---------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++---------------------------------------------------------,深度套牢 | 冲高回落
002367,康力电梯,20260623,B_Low_Position_Start (低风险埋伏),5.98,-8.70%,-2.23%,1,14,34,+++++++++++++---------------------,冲高回落
002068,黑猫股份,20260623,E_Leader_Restart (二次启动),11.5,-31.13%,-9.38%,1,11,30,++++++++++-+------------------,深度套牢 | 冲高回落
603679,华体科技,20260623,E_Leader_Restart (二次启动),20.76,8.09%,-8.46%,1,3,34,++--------------------------++++++,正常
003013,地铁设计,20260623,D_Strong_Breakout (高风险追涨/优化),16.98,8.07%,-6.06%,24,1,34,-----------------------+-+-+++++++,正常
603006,联明股份,20260426,D_Strong_Breakout (高风险追涨/优化),13.64,-17.52%,-6.37%,1,3,72,++--+++++++++++++---++++--+++--------+++++++++++------------------------,深度套牢 | 冲高回落
002350,北京科锐,20260327,E_Leader_Restart (二次启动),15.19,9.81%,-1.71%,25,1,91,------------------------+++++++++++++++++++----++--+++-----------------+-+------+------++++,正常
000559,万向钱潮,20260517,A_Strong_Pullback (中风险接力),17.5,-37.83%,-25.35%,1,6,68,+++++---------------------------------------------------------------,深度套牢
603809,豪能股份,20260517,A_Strong_Pullback (中风险接力),11.48,-22.82%,-16.46%,2,1,68,-+------------------------------------------------------------------,深度套牢
603018,华设集团,20260517,A_Strong_Pullback (中风险接力),7.6,-28.82%,-19.12%,2,1,56,-+------------------------------------------------------,深度套牢
002617,露笑科技,20260517,E_Leader_Restart (二次启动),9.36,-31.84%,-12.65%,2,1,60,-++--++++---------------+++-+++++--+-+----------------------,深度套牢 | 冲高回落
002254,泰和新材,20260517,E_Leader_Restart (二次启动),14.18,-11.14%,0.97%,1,10,60,+++++++++-----++--++++++++++++++++++--+---------------------,深度套牢 | 冲高回落
002277,友阿股份,20260517,E_Leader_Restart (二次启动),6.54,-11.16%,-6.09%,4,1,56,---++++++++--++-++--------------------------------------,深度套牢 | 冲高回落
603006,联明股份,20260428,D_Strong_Breakout (高风险追涨/优化),13.64,-17.52%,-6.58%,3,1,70,--+++++++++++++---++++--+++--------+++++++++++------------------------,深度套牢 | 冲高回落
600998,九州通,20260125,C_New_Strategy (最高共振),5.58,-9.50%,-8.68%,1,2,130,+---------------------------------------------------------------------------------------------------------------------------------,正常
000670,盈方微,20260125,E_Leader_Restart (二次启动),9.69,-28.59%,-17.44%,1,2,130,+---------------------------------------------------------------------------+---------+-------------------------------------------,深度套牢
600192,长城电工,20260125,E_Leader_Restart (二次启动),11.35,-30.48%,-28.31%,从未,1,130,----------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002727,一心堂,20260125,D_Strong_Breakout (高风险追涨/优化),14.04,-16.38%,-13.24%,3,1,130,--+++--++-++---------------------+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603883,老百姓,20260125,D_Strong_Breakout (高风险追涨/优化),16.44,-22.51%,-19.93%,从未,1,130,----------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002587,奥拓电子,20260630,A_Strong_Pullback (中风险接力),7.33,-22.78%,-22.89%,1,2,29,+----------------------------,深度套牢
600058,五矿发展,20260630,E_Leader_Restart (二次启动),11.88,-4.88%,-17.69%,从未,1,29,-----------------------------,长期未回正
601199,江南水务,20260711,A_Strong_Pullback (中风险接力),6.05,0.17%,-5.82%,4,1,21,---+-+--------------+,正常
600129,太极集团,20260711,E_Leader_Restart (二次启动),15.39,5.59%,3.73%,1,5,21,++++-+-++-+++-++++-++,正常
000524,岭南控股,20260711,E_Leader_Restart (二次启动),9.68,-3.00%,-10.71%,从未,1,17,-----------------,长期未回正
603012,创力集团,20260510,C_New_Strategy (最高共振),9.55,-14.87%,-10.85%,1,4,65,+++------+++++---------------------------------------------------,深度套牢 | 冲高回落
603758,秦安股份,20260510,B_Low_Position_Start (低风险埋伏),13.44,-14.21%,-23.63%,从未,1,65,-----------------------------------------------------------------,长期未回正 | 深度套牢
002584,西陇科学,20260121,C_New_Strategy (最高共振),10.1,-17.43%,-17.66%,99,1,132,--------------------------------------------------------------------------------------------------++----+---------------------------,深度套牢 | 冲高回落
600539,狮头股份,20260121,C_New_Strategy (最高共振),11.54,29.98%,25.84%,19,1,132,------------------+++----++++++++++--+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603333,尚纬股份,20260109,C_New_Strategy (最高共振),8.99,2.78%,-6.41%,35,1,139,----------------------------------++------+---------------------------------+-+++++++---------------------------------------------------+++,正常
603356,华菱精工,20260109,E_Leader_Restart (二次启动),15.41,4.02%,12.62%,1,97,140,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--+++++++++++++++++++++----------------+++++,正常
002995,天地在线,20251202,A_Strong_Pullback (中风险接力),18.62,-1.13%,19.00%,1,4,139,+++-++++++++++++++++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----+---------------------------,冲高回落
002995,天地在线,20251202,A_Strong_Pullback (中风险接力),18.62,-1.13%,19.00%,1,4,139,+++-++++++++++++++++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----+---------------------------,冲高回落
603065,宿迁联盛,20260227,C_New_Strategy (最高共振),9.65,83.94%,21.21%,15,1,111,--------------+----------------------------------------------------++++++++++++++++++++++++++++++++++++++++++++,正常
002207,准油股份,20260227,E_Leader_Restart (二次启动),11.59,-47.28%,-30.18%,1,10,111,+++++++++------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002828,贝肯能源,20260227,E_Leader_Restart (二次启动),13.8,-6.74%,-14.89%,1,7,106,++++++-+++++-------------+--------------------------------------------------------------------------------,冲高回落
000554,泰山石油,20260227,E_Leader_Restart (二次启动),8.83,-25.71%,-15.59%,1,15,111,++++++++++++++-------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
605033,美邦股份,20260227,E_Leader_Restart (二次启动),29.45,-33.45%,-30.14%,从未,1,111,---------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
605006,山东玻纤,20260227,E_Leader_Restart (二次启动),10.69,20.77%,33.08%,36,1,107,-----------------------------------++--++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
601390,中国中铁,20260227,E_Leader_Restart (二次启动),6.19,-26.98%,-20.15%,1,2,111,+--------------------------------------------------------------------------------------------------------------,深度套牢
000968,蓝焰控股,20260227,E_Leader_Restart (二次启动),8.55,-15.44%,-4.34%,1,45,111,++++++++++++++++++++++++++++++++++++++++++++-------+-----------------------------------------------------------,深度套牢 | 冲高回落
600409,三友化工,20260227,E_Leader_Restart (二次启动),8.8,-21.25%,-21.40%,8,1,111,-------++------------------------------------------------------------------------------------------------------,深度套牢
600026,中远海能,20260227,E_Leader_Restart (二次启动),20.15,-12.36%,-0.83%,1,60,111,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------++++--------------------------------,深度套牢 | 冲高回落
000739,普洛药业,20260114,C_New_Strategy (最高共振),17.79,24.34%,0.80%,1,2,133,+-+++++++++++++++++++++++++-----++++++++------++++--+-+--++--+++++++++--+++-----------------------------------+++-+++++++++++++++++++,正常
002519,银河电子,20260114,E_Leader_Restart (二次启动),10.42,-45.11%,-28.72%,24,1,137,-----------------------+-----------------------------------------------------------------------------------------------------------------,深度套牢
000892,欢瑞世纪,20260114,E_Leader_Restart (二次启动),8.61,-51.45%,-37.77%,19,1,137,------------------+++--------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002354,天娱数科,20260114,E_Leader_Restart (二次启动),7.74,8.14%,-9.79%,1,2,137,+--------------------------------------------------------------------------------------------+++-----++++++++++++++++--+------------+++++,正常
002858,力盛体育,20260114,E_Leader_Restart (二次启动),17.1,-32.57%,-16.76%,23,1,133,----------------------+--------------------------------------------------------------------------------------------------------------,深度套牢
002181,粤 传 媒,20260114,E_Leader_Restart (二次启动),10.5,-12.38%,16.26%,1,3,136,++-++++++++++++++++++++++------+++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------,深度套牢 | 冲高回落
600152,维科技术,20260114,E_Leader_Restart (二次启动),8.07,2.60%,25.14%,16,1,136,---------------++----++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-+-----------------++,正常
000066,中国长城,20260114,E_Leader_Restart (二次启动),16.14,-8.86%,2.52%,1,12,137,+++++++++++--+---++-+++++++----++++++-+------------------------+++++++++++++++++++++++++++++-+---++++++++++++++++++++++------------------,冲高回落
600965,福成股份,20260114,E_Leader_Restart (二次启动),6.36,-58.49%,-31.49%,7,1,137,------++--++-+---------------------------------------------------------------------------------------------------------------------------,深度套牢
600640,国脉文化,20260114,E_Leader_Restart (二次启动),14.85,-27.61%,-18.73%,19,1,137,------------------+---------------------+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603303,得邦照明,20260114,E_Leader_Restart (二次启动),13.85,60.14%,39.88%,3,1,137,--++++++++++++++++++++++++++++++++++++++------+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002284,亚太股份,20260114,D_Strong_Breakout (高风险追涨/优化),16.37,-41.60%,-20.22%,1,12,132,+++++++++++-+++++---+++++-----------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
601901,方正证券,20260114,D_Strong_Breakout (高风险追涨/优化),8.18,-13.81%,-13.88%,从未,1,137,-----------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002268,电科网安,20251227,C_New_Strategy (最高共振),20.33,-28.97%,-17.61%,2,1,147,-+++++++++++++---+-------------+-------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000411,英特集团,20251227,A_Strong_Pullback (中风险接力),12.86,-23.56%,-14.49%,1,8,136,+++++++--------------------------------+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002228,合兴包装,20251227,E_Leader_Restart (二次启动),6.33,-50.87%,-40.46%,从未,1,156,------------------------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002427,尤夫股份,20251227,E_Leader_Restart (二次启动),6.76,-36.24%,-12.19%,1,3,144,++----+-+-+++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002871,伟隆股份,20251218,A_Strong_Pullback (中风险接力),15.74,1.78%,21.36%,1,139,150,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-+---++----+,正常
603057,紫燕食品,20251218,B_Low_Position_Start (低风险埋伏),18.97,21.40%,36.48%,1,40,136,+++++++++++++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
000716,黑芝麻,20251218,E_Leader_Restart (二次启动),6.55,-28.09%,-17.67%,1,3,150,++-----------------++---------------------------------------------------------------------------------------------------------------------------------,深度套牢
600579,中化装备,20260621,E_Leader_Restart (二次启动),7.37,-0.54%,0.21%,1,3,36,++-++++++++++++++-------------------,冲高回落
600611,大众交通,20260107,C_New_Strategy (最高共振),6.07,-24.88%,-20.59%,3,1,139,--+-----+--------------------------------------------------------------------------++------------------------------------------------------,深度套牢
600906,财达证券,20260107,B_Low_Position_Start (低风险埋伏),7.12,-7.02%,-4.19%,43,1,139,------------------------------------------+--------------------------------------------------------++++++++++++++++++---+--++++------------,冲高回落
600864,哈投股份,20260107,B_Low_Position_Start (低风险埋伏),6.94,-21.90%,-11.16%,1,3,139,++------------------------------------------------------+++++++++++------------------------------------------------------------------------,深度套牢 | 冲高回落
002072,凯瑞德,20260107,E_Leader_Restart (二次启动),7.93,-7.94%,-3.97%,19,1,139,------------------+------+------------------------------------------------------------++--+++++++++++++++++++++++++------------------------,冲高回落
601512,中新集团,20260107,E_Leader_Restart (二次启动),9.51,-16.61%,-5.80%,1,2,139,+----+++++++++-++++++++-++-+--------------+---------------------+++++++++++++--------------------------------------------------------------,深度套牢 | 冲高回落
000719,中原传媒,20260205,C_New_Strategy (最高共振),13.44,-8.04%,-3.73%,3,1,121,--++----++--------------+-----------++++++++++++++++-+++++++++++++-------+-----------------------------------------------,冲高回落
000937,冀中能源,20260205,A_Strong_Pullback (中风险接力),5.67,-16.40%,-9.04%,8,1,121,-------+-+++++++++++++++-++++++++--------------+--++-+-+-----------------++++--------------------------------------------,深度套牢 | 冲高回落
600463,空港股份,20260205,B_Low_Position_Start (低风险埋伏),11.73,-29.58%,-18.14%,1,11,121,++++++++++---------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600601,方正科技,20260531,A_Strong_Pullback (中风险接力),13.43,-26.58%,-8.54%,11,1,46,----------+++++--+--++++++-+------------------,深度套牢 | 冲高回落
000791,甘肃能源,20260531,E_Leader_Restart (二次启动),9.84,-19.31%,-15.57%,2,1,50,-++-----------------------------------------------,深度套牢 | 冲高回落
603012,创力集团,20260509,C_New_Strategy (最高共振),9.55,-14.87%,-10.85%,1,4,65,+++------+++++---------------------------------------------------,深度套牢 | 冲高回落
603758,秦安股份,20260509,B_Low_Position_Start (低风险埋伏),13.44,-14.21%,-23.63%,从未,1,65,-----------------------------------------------------------------,长期未回正 | 深度套牢
600992,贵绳股份,20260716,E_Leader_Restart (二次启动),11.35,-8.02%,1.93%,1,12,17,+++++++++++------,冲高回落
603577,汇金通,20260716,E_Leader_Restart (二次启动),10.16,2.85%,3.58%,1,4,17,+++-+++++++-----+,正常
002250,联化科技,20260716,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-1.77%,2,1,17,-+++---------+-++,正常
002107,沃华医药,20260414,E_Leader_Restart (二次启动),7.53,-16.33%,-13.03%,1,9,80,++++++++--+---------------------------------------------------------------------,深度套牢 | 冲高回落
603212,赛伍技术,20260604,A_Strong_Pullback (中风险接力),15.46,-25.36%,-20.87%,1,4,46,+++-+++++-------------------------------------,深度套牢 | 冲高回落
603633,徕木股份,20260604,E_Leader_Restart (二次启动),9.06,-33.11%,-25.68%,从未,1,42,------------------------------------------,长期未回正 | 深度套牢
002700,万憬能源,20260604,E_Leader_Restart (二次启动),7.94,-23.68%,-9.45%,1,13,46,++++++++++++----------------+-----------------,深度套牢 | 冲高回落
601918,新集能源,20260604,E_Leader_Restart (二次启动),10.97,-7.02%,-12.61%,从未,1,46,----------------------------------------------,长期未回正
002115,三维通信,20260429,E_Leader_Restart (二次启动),14.0,-25.50%,-14.95%,1,11,77,++++++++++-------------------------------------------------------------------,深度套牢 | 冲高回落
003036,泰坦股份,20260429,E_Leader_Restart (二次启动),33.83,63.76%,93.97%,2,1,69,-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002250,联化科技,20260809,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,7.87%,1,从未,1,+,正常
002107,沃华医药,20260411,E_Leader_Restart (二次启动),7.53,-16.33%,-12.73%,2,1,82,-+++++++++--+---------------------------------------------------------------------,深度套牢 | 冲高回落
000600,建投能源,20260314,E_Leader_Restart (二次启动),10.19,-14.92%,-6.35%,8,1,101,-------++---------------------------------+---++++++++++++--++++-------------------------------------,深度套牢 | 冲高回落
600667,太极实业,20260118,C_New_Strategy (最高共振),9.3,84.41%,50.36%,1,14,130,+++++++++++++-++++++++++++++++++++++++++++++-----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603058,永吉股份,20260118,C_New_Strategy (最高共振),10.56,-2.46%,3.00%,1,64,134,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--++++++++++++-+-------------------------------------------------------,冲高回落
600744,华银电力,20260118,C_New_Strategy (最高共振),6.63,16.59%,19.64%,1,7,135,++++++----------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------++++++++++++++++++,正常
603618,杭电股份,20260118,A_Strong_Pullback (中风险接力),8.51,217.51%,235.44%,1,9,135,++++++-+-+++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002112,三变科技,20260118,E_Leader_Restart (二次启动),19.97,-11.37%,-4.16%,1,10,135,+++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++-++++++++++++++---------------------------------------------------------,深度套牢 | 冲高回落
002114,罗平锌电,20260118,E_Leader_Restart (二次启动),9.73,-21.27%,-13.15%,1,11,135,++++++++++-----------+++++++++++----------------------------------------+--------------------------------------------------------------,深度套牢 | 冲高回落
603023,威帝股份,20260118,E_Leader_Restart (二次启动),5.92,-32.60%,-23.31%,3,1,135,--+++++--------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002845,同兴达,20260118,D_Strong_Breakout (高风险追涨/优化),15.41,-19.40%,-4.75%,5,1,130,----+----------------++---++++++++-----------------------------------------++++++++-+--++-+----++++++++-++++---++++---------------,深度套牢 | 冲高回落
600058,五矿发展,20260129,E_Leader_Restart (二次启动),15.6,-27.56%,-28.91%,从未,1,126,------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002088,鲁阳节能,20260129,E_Leader_Restart (二次启动),13.03,-41.67%,-28.86%,1,2,126,+-----------------------------------------------------------------------------------------------------------------------------,深度套牢
002890,弘宇股份,20260129,E_Leader_Restart (二次启动),16.76,-12.95%,-12.62%,1,15,126,++++++++++++++-----------------------------------------++++++++++++++---------------------------------------------------------,深度套牢
600714,金瑞矿业,20260129,E_Leader_Restart (二次启动),16.56,-16.00%,23.71%,12,1,122,-----------++++++++++++++++++++++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------,深度套牢 | 冲高回落
002782,可立克,20260129,E_Leader_Restart (二次启动),23.33,-37.25%,-5.60%,1,2,122,+------------++++++++++++++++---+++----------------------------+++++++++++++++++++++--+++++++-----------------------------,深度套牢 | 冲高回落
002283,天润工业,20260129,E_Leader_Restart (二次启动),6.98,29.94%,40.89%,1,从未,126,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002185,华天科技,20260129,E_Leader_Restart (二次启动),15.24,18.50%,5.44%,30,1,126,-----------------------------+-------------------------------------++-++++++++++++++++++++++++++++++++++++++++++++++++-+-+++++,正常
002809,红墙股份,20260129,E_Leader_Restart (二次启动),13.6,-38.90%,-14.25%,1,8,126,+++++++----++++----+--++++----------------------------------------------------------------------------------++++++++++++------,深度套牢 | 冲高回落
002119,康强电子,20260129,E_Leader_Restart (二次启动),26.7,-10.49%,-8.42%,84,1,126,-----------------------------------------------------------------------------------+++++++++++++++++++++++++------------------,深度套牢 | 冲高回落
600770,综艺股份,20260129,E_Leader_Restart (二次启动),6.82,-23.02%,-9.27%,3,1,126,--+++-++---------------------+-----------------------++++++++++++++++---------------------------++----------------------------,深度套牢 | 冲高回落
601226,华电科工,20260129,E_Leader_Restart (二次启动),10.98,-42.44%,-22.63%,1,2,126,+-+++-+----+++++-+++++++------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002339,积成电子,20260129,E_Leader_Restart (二次启动),12.13,-38.75%,-21.36%,3,1,122,--++-+++++-+++----++++++---+----------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600986,浙文互联,20260129,E_Leader_Restart (二次启动),13.14,-38.89%,-27.32%,2,1,126,-+++++++-+--------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
