代码,名称,信号日期,策略类型,信号价,T+1开盘,当前价,累计收益,最高冲击,最大回撤,持仓天数,状态,最新数据日
002235,安妮股份,20251214,E_Leader_Restart (二次启动),12.85,12.77,10.74,-16.42%,3.50%,-20.93%,6,跌,2025-12-22
002579,中京电子,20251213,A_Strong_Pullback (中风险接力),11.89,11.64,11.96,0.59%,1.77%,-4.88%,6,涨,2025-12-22
601799,星宇股份,20251213,A_Strong_Pullback (中风险接力),127.06,126.75,124.01,-2.40%,1.13%,-3.20%,6,跌,2025-12-22
002725,跃岭股份,20251213,E_Leader_Restart (二次启动),19.08,17.8,17.16,-10.06%,-5.45%,-15.78%,6,跌,2025-12-22
002235,安妮股份,20251213,E_Leader_Restart (二次启动),12.85,12.77,10.74,-16.42%,3.50%,-20.93%,6,跌,2025-12-22
000735,罗 牛 山,20251211,E_Leader_Restart (二次启动),10.14,9.78,10.48,3.35%,19.82%,-16.57%,7,涨,2025-12-22
000532,华金资本,20251211,E_Leader_Restart (二次启动),15.44,15.35,15.36,-0.52%,4.60%,-3.24%,7,跌,2025-12-22
002163,海南发展,20251211,E_Leader_Restart (二次启动),16.68,16.58,15.99,-4.14%,2.82%,-24.10%,7,跌,2025-12-22
000505,京粮控股,20251211,E_Leader_Restart (二次启动),8.54,8.5,8.18,-4.22%,3.86%,-18.15%,7,跌,2025-12-22
002682,龙洲股份,20251211,E_Leader_Restart (二次启动),9.86,9.72,8.37,-15.11%,21.10%,-15.52%,7,跌,2025-12-22
603023,威帝股份,20251210,E_Leader_Restart (二次启动),5.1,4.97,5.98,17.25%,25.10%,-12.16%,8,涨,2025-12-22
600354,敦煌种业,20251210,A_Strong_Pullback (中风险接力),6.73,6.72,6.78,0.74%,1.04%,-7.58%,8,涨,2025-12-22
000526,学大教育,20251210,B_Low_Position_Start (低风险埋伏),39.91,38.84,39.45,-1.15%,-0.55%,-7.92%,8,跌,2025-12-22
603709,中源家居,20251210,E_Leader_Restart (二次启动),19.7,19.72,16.91,-14.16%,33.10%,-15.48%,8,跌,2025-12-22
002752,昇兴股份,20251210,E_Leader_Restart (二次启动),8.55,8.56,7.3,-14.62%,2.81%,-23.04%,8,跌,2025-12-22
002390,信邦制药,20251210,D_Strong_Breakout (高风险追涨/优化),4.15,3.89,3.35,-19.28%,-4.34%,-23.37%,8,跌,2025-12-22
002332,仙琚制药,20251209,B_Low_Position_Start (低风险埋伏),9.54,9.46,9.09,-4.72%,0.10%,-5.97%,9,跌,2025-12-22
002585,双星新材,20251209,E_Leader_Restart (二次启动),7.16,7.15,6.56,-8.38%,5.17%,-14.25%,9,跌,2025-12-22
603738,泰晶科技,20251209,E_Leader_Restart (二次启动),16.96,16.96,15.5,-8.61%,0.94%,-12.91%,9,跌,2025-12-22
002093,国脉科技,20251209,E_Leader_Restart (二次启动),13.59,13.28,11.55,-15.01%,-0.07%,-18.10%,9,跌,2025-12-22
002767,先锋电子,20251204,A_Strong_Pullback (中风险接力),20.62,20.51,22.97,11.40%,12.08%,-1.21%,12,涨,2025-12-22
603286,日盈电子,20251204,E_Leader_Restart (二次启动),54.1,52.01,60.06,11.02%,12.35%,-5.64%,12,涨,2025-12-22
002902,铭普光磁,20251204,A_Strong_Pullback (中风险接力),22.29,22.29,23.25,4.31%,9.38%,-6.01%,12,涨,2025-12-22
603711,香飘飘,20251204,E_Leader_Restart (二次启动),15.38,14.9,14.95,-2.80%,4.88%,-9.69%,12,跌,2025-12-22
002992,宝明科技,20251204,B_Low_Position_Start (低风险埋伏),52.23,52.22,49.49,-5.25%,4.88%,-8.44%,12,跌,2025-12-22
002520,日发精机,20251204,B_Low_Position_Start (低风险埋伏),6.4,6.99,6.04,-5.63%,9.22%,-10.31%,12,跌,2025-12-22
002137,实益达,20251204,A_Strong_Pullback (中风险接力),9.47,9.44,8.64,-8.76%,2.11%,-13.31%,12,跌,2025-12-22
600467,好当家,20251204,E_Leader_Restart (二次启动),3.0,3.0,2.71,-9.67%,2.67%,-15.33%,12,跌,2025-12-22
000536,华映科技,20251204,E_Leader_Restart (二次启动),5.98,5.95,5.12,-14.38%,10.37%,-16.72%,12,跌,2025-12-22
603223,恒通股份,20251204,D_Strong_Breakout (高风险追涨/优化),11.45,11.42,9.64,-15.81%,2.53%,-20.70%,12,跌,2025-12-22
000838,财信发展,20251204,E_Leader_Restart (二次启动),3.92,3.73,3.26,-16.84%,3.06%,-21.68%,12,跌,2025-12-22
600635,大众公用,20251204,A_Strong_Pullback (中风险接力),8.22,8.23,6.63,-19.34%,0.85%,-23.11%,12,跌,2025-12-22
000735,罗 牛 山,20251203,C_New_Strategy (最高共振),9.68,9.41,10.48,8.26%,25.52%,-13.95%,13,涨,2025-12-22
000100,TCL科技,20251203,B_Low_Position_Start (低风险埋伏),4.34,4.31,4.49,3.46%,7.83%,-0.92%,13,涨,2025-12-22
600033,福建高速,20251203,E_Leader_Restart (二次启动),4.33,4.28,4.34,0.23%,15.70%,-9.93%,13,涨,2025-12-22
000411,英特集团,20251203,E_Leader_Restart (二次启动),12.93,12.88,12.69,-1.86%,4.18%,-11.99%,13,跌,2025-12-22
002983,芯瑞达,20251203,E_Leader_Restart (二次启动),23.3,22.57,22.83,-2.02%,-0.30%,-7.94%,13,跌,2025-12-22
002019,亿帆医药,20251203,B_Low_Position_Start (低风险埋伏),12.86,12.8,11.92,-7.31%,0.23%,-8.71%,13,跌,2025-12-22
600981,苏豪汇鸿,20251203,E_Leader_Restart (二次启动),3.63,3.45,3.32,-8.54%,8.82%,-12.67%,13,跌,2025-12-22
603718,海利生物,20251203,B_Low_Position_Start (低风险埋伏),7.04,7.02,6.36,-9.66%,4.83%,-15.77%,13,跌,2025-12-22
003018,金富科技,20251203,E_Leader_Restart (二次启动),22.35,21.0,17.77,-20.49%,4.79%,-23.40%,13,跌,2025-12-22
002995,天地在线,20251202,A_Strong_Pullback (中风险接力),18.62,18.46,16.65,-10.58%,2.04%,-14.98%,14,跌,2025-12-22
002995,天地在线,20251202,A_Strong_Pullback (中风险接力),18.62,18.46,16.65,-10.58%,2.04%,-14.98%,14,跌,2025-12-22
600734,实达集团,20251202,E_Leader_Restart (二次启动),5.93,5.69,4.9,-17.37%,22.26%,-20.91%,14,跌,2025-12-22
600337,美克家居,20251201,E_Leader_Restart (二次启动),2.74,2.75,2.92,6.57%,17.15%,-5.47%,12,涨,2025-12-17
600337,美克家居,20251201,E_Leader_Restart (二次启动),2.74,2.75,2.92,6.57%,17.15%,-5.47%,12,涨,2025-12-17
600337,美克家居,20251130,E_Leader_Restart (二次启动),2.74,2.65,2.92,6.57%,17.15%,-5.47%,13,涨,2025-12-17
600337,美克家居,20251129,E_Leader_Restart (二次启动),2.74,2.65,2.92,6.57%,17.15%,-5.47%,13,涨,2025-12-17
600337,美克家居,20251129,E_Leader_Restart (二次启动),2.74,2.65,2.92,6.57%,17.15%,-5.47%,13,涨,2025-12-17
600337,美克家居,20251128,E_Leader_Restart (二次启动),2.74,2.65,2.92,6.57%,17.15%,-5.47%,13,涨,2025-12-17
600337,美克家居,20251128,E_Leader_Restart (二次启动),2.74,2.65,2.92,6.57%,17.15%,-5.47%,13,涨,2025-12-17
