代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
605366,2026-04-30,13.34,13.54,1.5,1.5,1,1,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.44%, -0.46%) | 趋势: 高于MA20"
600222,2026-04-30,6.8,6.79,-0.15,-0.15,0,1,量能: 放量 (1.68X)
002441,2026-04-30,10.15,10.35,1.97,1.97,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600158,2026-04-30,11.85,12.34,4.14,4.14,1,1,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002887,2026-04-30,13.3,12.9,-3.01,-3.01,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600156,2026-04-30,10.8,11.2,3.7,3.7,1,1,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.70X) | 形态: 10日内有涨停 | 趋势: 高于MA20
002357,2026-04-30,11.72,11.79,0.6,0.6,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603101,2026-04-30,11.06,10.49,-5.15,-5.15,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603703,2026-04-30,13.68,13.82,1.02,1.02,1,1,"形态: 两连阴 (-1.24%, -0.59%) | 趋势: 高于MA20"
000729,2026-04-30,13.3,13.4,0.75,0.75,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002131,2026-04-30,6.45,6.82,5.74,5.74,1,1,"形态: 两连阴 (-3.24%, -0.15%)"
002209,2026-04-30,15.06,14.13,-6.18,-6.18,0,1,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.59X)
603335,2026-04-30,7.07,7.05,-0.28,-0.28,0,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
601002,2026-04-30,6.22,6.23,0.16,0.16,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
002805,2026-04-30,22.85,25.14,10.02,10.02,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603819,2026-04-30,14.8,15.01,1.42,1.42,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002732,2026-04-30,16.42,16.29,-0.79,-0.79,0,1,趋势: 高于MA20
003003,2026-04-30,13.86,13.88,0.14,0.14,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000546,2026-04-30,7.72,7.82,1.3,1.3,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600590,2026-04-30,15.69,16.83,7.27,7.27,1,1,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
603598,2026-04-30,20.8,21.84,5.0,5.0,1,1,趋势: 高于MA20
002725,2026-04-30,16.9,17.2,1.78,1.78,1,1,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.62X) | 形态: 两连阴 (-3.40%, -0.68%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
603679,2026-04-30,14.95,15.17,1.47,1.47,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002394,2026-04-30,14.11,14.0,-0.78,-0.78,0,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603018,2026-04-30,7.52,7.62,1.33,1.33,1,1,量能: 放量 (1.60X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600415,2026-04-30,13.25,13.26,0.08,0.08,1,1,"形态: 两连阴 (-0.72%, -2.03%) | 趋势: 高于MA20"
