Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600749,西藏旅游,2026-04-24,18.3,-8.50%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.05%, -3.71%) | 趋势: 高于MA20",17.82,16.92,0.88X
600651,飞乐音响,2026-04-24,6.61,-1.05%,"形态: 两连阴 (-1.01%, -2.48%)",6.95,7.48,0.73X
600497,驰宏锌锗,2026-04-24,9.14,0.33%,趋势: 高于MA20,8.40,9.09,0.82X
002651,利君股份,2026-04-24,9.38,-1.26%,"形态: 两连阴 (-0.10%, -1.35%)",9.48,10.18,0.78X
600843,上工申贝,2026-04-24,8.35,-2.79%,"形态: 两连阴 (-0.73%, -9.96%)",9.35,10.38,1.27X
003036,泰坦股份,2026-04-24,33.59,9.99%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),27.20,21.26,1.30X
002949,华阳国际,2026-04-24,14.0,-0.85%,"形态: 两连阴 (-2.13%, -0.84%) | 趋势: 高于MA20",13.87,14.68,0.57X
600538,国发股份,2026-04-24,6.68,-2.77%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,6.64,6.63,1.04X
000070,特发信息,2026-04-24,19.97,-4.86%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,19.45,16.84,0.84X
002196,方正电机,2026-04-24,14.17,1.00%,"形态: 两连阴 (-0.97%, -2.30%) | 趋势: 高于MA20",14.10,15.27,0.95X
600499,科达制造,2026-04-24,19.81,9.99%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.96X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),17.38,16.93,1.96X
603878,武进不锈,2026-04-24,8.01,-0.25%,形态: 10日内有涨停 | 趋势: 高于MA20,7.79,8.47,0.87X
002099,海翔药业,2026-04-24,6.97,0.58%,"形态: 两连阴 (-1.67%, -1.70%)",7.13,7.23,0.79X
002406,远东传动,2026-04-24,8.43,10.05%,量能: 放量 (2.19X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),7.45,7.81,2.19X
600241,时代万恒,2026-04-24,9.57,1.16%,趋势: 多头排列 (5>20>60),9.62,9.09,0.82X
