排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
22,002275,桂林三金,13.7,0.0725,0.0015,18.1,-4.11,💥【顶级共振】RSI共振(18.1/8.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.005,平稳
23,603587,地素时尚,12.4,0.0706,0.0024,23.9,2.12,💥【顶级共振】RSI共振(23.9/15.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.043,平稳
24,002668,TCL智家,9.53,0.0663,0.0095,27.82,2.41,💥【顶级共振】RSI+KDJ极值(27.8/2.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.981,平稳
25,000686,东北证券,8.53,0.0648,0.0024,20.07,-3.43,💥【顶级共振】RSI共振(20.1/12.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.102,平稳
26,601198,东兴证券,13.49,0.0645,-0.0022,19.99,-8.92,💥【顶级共振】RSI共振(20.0/3.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.183,平稳
27,002688,金河生物,5.94,0.0631,0.0,25.46,-2.09,💥【顶级共振】RSI共振(25.5/12.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.981,平稳
28,603909,建发合诚,11.18,0.0629,-0.0027,28.4,3.5,💥【顶级共振】RSI共振(28.4/13.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.101,平稳
29,603711,香飘飘,12.88,0.0605,-0.0092,21.16,-6.01,💥【顶级共振】RSI共振(21.2/9.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.001,平稳
30,002732,燕塘乳业,16.88,0.0601,-0.0076,20.7,-5.18,💥【顶级共振】RSI共振(20.7/7.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.023,平稳
31,002907,华森制药,13.99,0.0861,0.0058,23.84,7.16,🌟【加强级】RSI极值(23.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.954,平稳
32,601319,中国人保,8.43,0.0848,0.0012,23.7,17.32,🌟【加强级】RSI极值(23.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.113,平稳
33,600909,华安证券,6.15,0.0846,0.0149,27.38,17.76,🌟【加强级】RSI极值(27.4),持有,1.116,平稳
34,600712,南宁百货,6.11,0.0828,0.0033,25.54,12.07,🌟【加强级】RSI极值(25.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.033,平稳
35,600679,上海凤凰,12.14,0.0803,0.01,25.54,11.98,🌟【加强级】RSI极值(25.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.0,平稳
36,000716,黑芝麻,5.79,0.0789,-0.0034,28.25,47.73,🌟【加强级】RSI极值(28.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.98,平稳
37,600721,百花医药,8.75,0.0768,0.0092,28.97,6.22,🌟【加强级】RSI极值(29.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.166,平稳
