排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
39,605001,威奥股份,7.71,0.0755,-0.0265,25.75,-9.17,💥【顶级共振】RSI共振(25.8/12.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.071,平稳
40,002023,海特高新,11.56,0.0752,-0.0571,27.32,21.63,💥【顶级共振】RSI共振(27.3/15.1),持有,1.141,平稳
41,002907,华森制药,14.08,0.0749,-0.027,21.3,5.24,💥【顶级共振】RSI共振(21.3/10.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.958,平稳
42,603990,麦迪科技,14.0,0.0741,-0.0127,17.56,-2.18,💥【顶级共振】RSI共振(17.6/6.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.007,平稳
43,603819,神力股份,12.04,0.0738,-0.0322,26.88,-3.94,💥【顶级共振】RSI共振(26.9/11.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.928,平稳
44,600095,湘财股份,10.31,0.0737,-0.0143,24.08,11.99,💥【顶级共振】RSI共振(24.1/16.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.084,平稳
45,603176,汇通集团,5.47,0.0729,-0.0267,26.15,1.78,💥【顶级共振】RSI共振(26.1/9.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.988,平稳
46,002863,今飞凯达,5.73,0.0728,-0.037,28.97,5.0,💥【顶级共振】RSI共振(29.0/16.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.107,平稳
47,600480,凌云股份,10.97,0.0727,-0.0411,20.15,-0.69,💥【顶级共振】RSI共振(20.1/7.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.97,平稳
48,600848,上海临港,10.86,0.0718,-0.0278,26.04,-8.91,💥【顶级共振】RSI共振(26.0/12.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.143,平稳
49,002763,汇洁股份,7.73,0.0709,-0.024,24.89,-0.27,💥【顶级共振】RSI共振(24.9/7.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.113,平稳
50,600909,华安证券,6.22,0.0703,-0.0143,21.16,8.65,💥【顶级共振】RSI共振(21.2/13.0),持有,1.12,平稳
51,603385,惠达卫浴,6.93,0.0698,-0.0128,25.95,-14.77,💥【顶级共振】RSI共振(25.9/9.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.038,平稳
52,605138,盛泰集团,7.08,0.0696,-0.0167,24.88,-6.8,💥【顶级共振】RSI共振(24.9/9.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.02,平稳
53,601108,财通证券,8.42,0.0696,-0.0164,28.03,8.2,💥【顶级共振】RSI共振(28.0/16.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.082,平稳
54,002790,瑞尔特,8.16,0.0685,-0.0366,23.99,-3.84,💥【顶级共振】RSI共振(24.0/11.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.093,平稳
55,003025,思进智能,14.0,0.0685,-0.0351,26.4,2.74,💥【顶级共振】RSI共振(26.4/13.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.031,平稳
56,603022,新通联,10.85,0.0679,-0.0286,23.36,-7.0,💥【顶级共振】RSI共振(23.4/8.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.106,平稳
57,603182,嘉华股份,15.45,0.067,-0.0115,22.97,-6.14,💥【顶级共振】RSI共振(23.0/8.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.138,平稳
58,002825,纳尔股份,10.48,0.0668,-0.0368,27.53,6.44,💥【顶级共振】RSI共振(27.5/12.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.088,平稳
59,605500,森林包装,8.76,0.0661,-0.0277,25.09,-0.77,💥【顶级共振】RSI共振(25.1/9.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.045,平稳
60,002521,齐峰新材,8.11,0.0657,-0.0182,22.29,-7.92,💥【顶级共振】RSI共振(22.3/8.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.953,平稳
61,603277,银都股份,15.63,0.0646,-0.0219,18.39,-12.35,💥【顶级共振】RSI共振(18.4/6.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.0,平稳
62,002651,利君股份,10.46,0.0636,-0.0636,26.42,18.48,💥【顶级共振】RSI共振(26.4/16.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.059,平稳
63,600250,南京商旅,10.78,0.0699,-0.0155,28.56,5.12,🌟【加强级】RSI极值(28.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.092,平稳
64,605008,长鸿高科,12.89,0.0632,0.0,27.83,25.94,🌟【加强级】RSI极值(27.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.946,平稳
65,002107,沃华医药,6.88,0.0627,-0.0185,28.71,5.79,🌟【加强级】RSI极值(28.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.149,平稳
