Code,Name,Latest_Date,Latest_Close,Matched_Conditions,MA5,MA20,MA60,Volume_Ratio,RSI,MACD,Signal
603636,南威软件,2025-11-28,14.43,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",13.90,12.82,12.31,0.60X,66.16,0.477,0.333
605089,味知香,2025-11-28,27.79,"价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",26.74,26.79,26.87,1.10X,61.26,0.103,0.035
600212,绿能慧充,2025-11-28,8.34,RSI 强势 (> 50),8.14,8.35,8.38,0.91X,50.66,-0.073,-0.067
603496,恒为科技,2025-11-28,28.98,RSI 强势 (> 50),29.13,28.17,29.31,0.51X,53.00,0.118,-0.109
603803,瑞斯康达,2025-11-28,10.37,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),10.99,10.10,9.29,0.37X,54.03,0.451,0.403
601118,海南橡胶,2025-11-28,6.09,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.70X) | RSI 强势 (> 50)",5.78,5.97,5.58,1.70X,58.21,0.054,0.096
600690,海尔智家,2025-11-28,27.36,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",27.24,26.87,26.01,0.15X,61.73,0.381,0.351
600829,人民同泰,2025-11-28,12.67,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",12.42,12.52,9.64,0.97X,54.02,0.985,1.272
605598,上海港湾,2025-11-28,48.69,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",47.59,40.61,31.73,0.82X,69.93,4.381,3.899
600795,国电电力,2025-11-28,5.63,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",5.43,5.40,5.14,1.20X,69.23,0.077,0.069
603286,日盈电子,2025-11-28,49.93,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",46.79,43.50,41.06,1.13X,69.16,1.456,0.713
600426,华鲁恒升,2025-11-28,28.27,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",27.66,27.47,26.25,1.06X,60.03,0.560,0.624
603016,新宏泰,2025-11-28,26.62,放量上涨 (2.22X) | MACD 金叉 | RSI 强势 (> 50),25.31,25.99,26.70,2.22X,56.09,-0.332,-0.363
600776,东方通信,2025-11-28,13.73,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",13.37,13.17,12.87,1.08X,60.99,0.150,0.115
000063,中兴通讯,2025-11-27,42.3,放量上涨 (1.75X) | RSI 强势 (> 50),39.97,40.70,44.48,1.75X,51.10,-1.372,-1.669
600984,建设机械,2025-11-28,4.37,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",4.28,4.13,3.89,1.22X,63.33,0.102,0.091
603778,国晟科技,2025-11-28,11.59,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",9.74,7.48,5.12,1.00X,79.76,1.445,1.127
600730,中国高科,2025-11-28,12.61,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",11.18,10.21,9.94,1.37X,75.75,0.461,0.233
605389,长龄液压,2025-11-28,72.4,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.63X) | RSI 强势 (> 50)",67.95,65.42,59.66,1.63X,65.60,1.827,1.460
603279,景津装备,2025-11-28,16.63,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),16.66,16.63,16.09,0.73X,52.61,0.202,0.264
603150,万朗磁塑,2025-11-28,36.81,MACD 金叉,35.84,36.75,38.25,0.30X,48.86,-0.727,-0.777
601019,山东出版,2025-11-28,8.51,RSI 强势 (> 50),8.56,8.60,8.16,0.67X,53.19,0.100,0.129
600251,冠农股份,2025-11-28,8.91,RSI 强势 (> 50),8.79,8.95,8.69,0.53X,50.92,0.015,0.055
601319,中国人保,2025-11-28,8.66,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",8.57,8.61,8.40,0.87X,52.26,0.039,0.057
600097,开创国际,2025-11-28,12.41,多头排列 (MA5>MA20>MA60),13.07,12.50,11.79,0.62X,49.76,0.372,0.422
603121,华培动力,2025-11-28,15.35,MACD 金叉,15.08,15.61,16.75,1.26X,42.51,-0.427,-0.445
603528,多伦科技,2025-11-28,9.43,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",9.36,9.04,8.96,0.48X,62.30,0.146,0.094
603083,剑桥科技,2025-11-28,109.96,"价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",103.23,105.11,105.95,0.39X,53.70,-0.374,-0.509
603063,禾望电气,2025-11-28,30.21,MACD 金叉,29.38,30.52,32.53,0.36X,46.41,-0.740,-0.748
603933,睿能科技,2025-11-28,23.02,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.47X) | MACD 金叉 | RSI 强势 (> 50)",20.10,20.79,19.00,2.47X,62.82,0.025,-0.024
600088,中视传媒,2025-11-28,17.13,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",16.89,16.60,16.81,0.52X,61.01,0.082,-0.021
600039,四川路桥,2025-11-28,9.43,RSI 强势 (> 50),9.29,9.55,8.93,1.00X,55.77,0.070,0.132
605399,晨光新材,2025-11-28,16.18,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",15.54,15.24,13.77,1.46X,56.33,0.681,0.738
605050,福然德,2025-11-28,13.37,MACD 金叉,13.37,14.07,16.15,1.19X,36.08,-0.569,-0.582
600335,国机汽车,2025-11-28,6.23,RSI 强势 (> 50),6.12,6.29,6.19,1.28X,50.72,-0.020,0.005
603212,赛伍技术,2025-11-28,13.14,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.54X) | RSI 强势 (> 50)",12.51,12.33,11.95,1.54X,60.49,0.272,0.222
603068,博通集成,2025-11-28,38.52,RSI 强势 (> 50),37.47,36.95,40.05,0.91X,54.27,-0.401,-0.819
603665,康隆达,2025-11-28,30.71,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),31.51,30.26,27.91,0.80X,53.99,1.254,1.367
603232,格尔软件,2025-11-28,26.32,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",25.88,25.18,19.33,1.04X,58.40,1.605,1.840
601999,出版传媒,2025-11-28,7.66,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.52X) | RSI 强势 (> 50)",7.49,7.55,7.24,1.52X,58.46,0.060,0.075
605117,德业股份,2025-11-28,81.0,RSI 强势 (> 50),79.16,81.06,75.15,1.25X,54.54,0.771,1.377
002383,合众思壮,2025-11-27,9.44,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",9.37,9.38,9.28,0.67X,54.19,0.050,0.046
603282,亚光股份,2025-11-28,20.11,RSI 强势 (> 50),19.59,20.15,19.06,0.96X,54.40,0.109,0.251
600875,东方电气,2025-11-28,21.46,放量上涨 (1.66X) | RSI 强势 (> 50),20.60,21.88,20.53,1.66X,51.17,-0.117,0.129
600860,京城股份,2025-11-28,12.07,放量上涨 (1.69X),11.73,12.33,12.26,1.69X,48.15,-0.138,-0.050
603856,东宏股份,2025-11-28,12.99,RSI 强势 (> 50),12.74,13.16,12.28,1.05X,53.13,0.044,0.152
603119,浙江荣泰,2025-11-28,92.25,RSI 强势 (> 50),91.18,89.49,95.06,0.81X,52.00,-0.767,-1.569
002363,隆基机械,2025-11-27,8.92,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",8.68,8.73,8.21,0.85X,57.78,0.152,0.177
600455,博通股份,2025-11-28,27.58,RSI 强势 (> 50),26.79,27.68,27.06,1.15X,51.92,-0.158,-0.029
603878,武进不锈,2025-11-28,10.54,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.83X) | RSI 强势 (> 50)",9.71,9.94,9.14,1.83X,60.96,-0.030,0.004
600110,诺德股份,2025-11-28,7.52,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",7.44,7.41,7.11,0.74X,53.24,0.161,0.198
603920,世运电路,2025-11-28,40.77,MACD 金叉 | RSI 强势 (> 50),39.07,39.83,41.58,1.12X,52.94,-0.735,-0.897
600697,欧亚集团,2025-11-28,13.59,RSI 强势 (> 50),13.28,13.74,13.55,1.05X,50.82,-0.044,0.033
603733,仙鹤股份,2025-11-28,23.0,MACD 金叉 | RSI 强势 (> 50),22.54,22.84,23.23,0.88X,53.10,-0.110,-0.121
603685,晨丰科技,2025-11-28,21.17,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",20.03,19.95,19.12,0.99X,62.37,0.167,0.106
600755,厦门国贸,2025-11-28,6.65,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",6.55,6.64,6.37,0.89X,52.76,0.038,0.065
603351,威尔药业,2025-11-28,28.26,RSI 强势 (> 50),27.48,28.56,28.14,1.13X,50.45,-0.178,-0.006
600237,铜峰电子,2025-11-28,8.71,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",8.58,8.26,7.84,0.99X,61.41,0.215,0.179
600510,黑牡丹,2025-11-28,9.2,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",8.87,9.12,8.28,1.16X,56.29,0.148,0.243
603017,中衡设计,2025-11-28,10.79,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",10.60,10.17,10.02,1.31X,59.19,0.146,0.057
603209,兴通股份,2025-11-28,16.13,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",15.78,15.64,15.18,1.42X,60.95,0.166,0.154
603213,镇洋发展,2025-11-28,13.87,RSI 强势 (> 50),13.75,13.90,13.84,0.73X,50.63,-0.035,-0.013
600113,浙江东日,2025-11-28,54.8,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",54.51,53.30,54.19,1.12X,53.43,0.940,1.019
603650,彤程新材,2025-11-28,39.42,多头排列 (MA5>MA20>MA60),41.09,39.91,39.62,0.42X,46.04,0.090,0.100
605336,帅丰电器,2025-11-28,15.96,多头排列 (MA5>MA20>MA60),16.21,16.12,15.55,0.60X,49.72,0.135,0.178
600246,万通发展,2025-11-28,12.92,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.39X) | RSI 强势 (> 50)",12.38,11.88,12.46,2.39X,56.32,0.162,-0.032
603758,秦安股份,2025-11-28,17.9,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.59X) | RSI 强势 (> 50)",16.22,15.69,15.37,2.59X,68.79,0.393,0.265
603057,紫燕食品,2025-11-28,18.58,MACD 金叉,18.49,18.88,20.01,0.21X,43.55,-0.242,-0.242
603187,海容冷链,2025-11-28,15.0,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",14.99,14.78,14.86,0.60X,52.94,0.100,0.098
600988,赤峰黄金,2025-11-28,32.0,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",30.85,30.36,29.57,1.39X,59.61,0.432,0.345
1318,N/A,2025-11-28,1.515,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",1.47,1.41,1.40,1.38X,52.92,0.015,0.003
603322,超讯通信,2025-11-28,47.9,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",47.43,46.67,47.30,0.60X,50.76,-0.258,-0.522
605155,西大门,2025-11-28,16.45,RSI 强势 (> 50),16.23,16.69,15.87,0.82X,51.91,-0.004,0.076
603216,梦天家居,2025-11-28,28.66,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",25.34,18.85,17.18,0.90X,81.61,2.422,1.207
603215,比依股份,2025-11-28,20.65,RSI 强势 (> 50),20.09,20.29,20.97,0.90X,53.45,-0.167,-0.242
600797,浙大网新,2025-11-28,10.82,RSI 强势 (> 50),11.10,10.70,10.84,0.48X,51.06,0.094,0.042
601519,大智慧,2025-11-28,12.78,MACD 金叉,12.68,13.25,14.61,0.96X,39.39,-0.517,-0.531
000065,北方国际,2025-11-27,12.02,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),12.54,11.66,11.34,0.85X,54.16,0.324,0.209
603499,翔港科技,2025-11-28,21.17,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",20.95,19.00,18.16,0.53X,73.07,0.931,0.687
600106,重庆路桥,2025-11-28,6.09,放量上涨 (1.57X),6.01,6.39,6.51,1.57X,41.48,-0.155,-0.108
600328,中盐化工,2025-11-28,8.39,RSI 强势 (> 50),8.32,8.45,8.07,0.59X,51.70,0.094,0.149
002343,慈文传媒,2025-11-27,8.27,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",8.20,8.06,8.06,0.85X,57.25,0.068,0.034
600198,大唐电信,2025-11-28,8.43,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),8.48,8.31,8.28,0.54X,56.06,0.070,0.047
605196,华通线缆,2025-11-28,32.52,RSI 强势 (> 50),32.91,33.69,28.52,0.77X,51.84,1.070,1.617
002202,金风科技,2025-11-27,15.19,RSI 强势 (> 50),14.90,15.47,14.43,0.81X,50.51,-0.052,0.032
603122,合富中国,2025-11-28,22.23,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",21.51,17.53,10.28,0.89X,70.89,3.693,3.638
603697,有友食品,2025-11-28,13.19,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",12.51,12.99,12.36,1.07X,57.87,0.044,0.110
000025,特  力Ａ,2025-11-27,20.07,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",19.80,18.93,18.32,1.44X,60.61,0.504,0.378
603956,威派格,2025-11-28,6.89,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),6.91,6.77,6.72,0.60X,56.94,0.074,0.060
600543,莫高股份,2025-11-28,6.29,RSI 强势 (> 50),6.18,6.40,6.15,0.92X,50.19,-0.006,0.042
600844,金煤科技,2025-11-28,3.3,RSI 强势 (> 50),3.24,3.32,3.14,0.59X,54.10,0.031,0.054
603919,金徽酒,2025-11-28,20.68,RSI 强势 (> 50),20.64,20.56,20.75,0.74X,52.72,0.079,0.091
000061,农 产 品,2025-11-27,9.42,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),9.76,9.45,8.88,0.65X,50.63,0.309,0.366
603206,嘉环科技,2025-11-28,16.74,RSI 强势 (> 50),16.83,16.57,16.87,1.01X,51.93,0.016,-0.049
000039,中集集团,2025-11-27,8.91,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",8.65,8.33,8.15,1.37X,58.99,0.188,0.123
603010,万盛股份,2025-11-28,11.62,放量上涨 (1.62X) | RSI 强势 (> 50),11.15,11.84,10.97,1.62X,51.65,0.021,0.146
002371,北方华创,2025-11-27,422.0,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",412.96,410.69,407.11,0.73X,54.59,1.615,0.606
600969,郴电国际,2025-11-28,8.71,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),8.79,8.62,7.75,0.77X,57.98,0.280,0.327
603727,博迈科,2025-11-28,15.35,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",15.22,14.56,14.06,0.44X,64.70,0.294,0.212
600941,中国移动,2025-11-28,107.7,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),108.46,107.83,107.07,0.81X,50.14,0.397,0.388
600182,S佳通,2025-11-28,15.56,放量上涨 (2.65X) | RSI 强势 (> 50),15.14,15.68,15.50,2.65X,50.87,-0.117,-0.044
605177,东亚药业,2025-11-28,20.39,RSI 强势 (> 50),20.04,20.70,19.99,1.12X,50.36,-0.035,0.098
600661,昂立教育,2025-11-28,10.88,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",10.74,10.73,10.59,1.01X,55.46,0.040,0.038
601318,中国平安,2025-11-28,58.99,RSI 强势 (> 50),59.20,59.42,57.35,0.90X,50.86,0.456,0.645
603466,风语筑,2025-11-28,9.99,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),10.17,9.88,9.74,0.24X,54.70,0.135,0.111
603978,深圳新星,2025-11-28,33.12,RSI 强势 (> 50),32.54,33.18,25.38,0.75X,56.48,1.761,2.359
600219,南山铝业,2025-11-28,4.74,RSI 强势 (> 50),4.74,4.94,4.33,0.52X,50.11,0.082,0.157
600408,安泰集团,2025-11-28,4.67,RSI 强势 (> 50),4.55,4.84,3.31,1.01X,53.31,0.349,0.526
601963,重庆银行,2025-11-28,11.16,RSI 强势 (> 50),11.14,11.21,10.21,0.17X,60.91,0.198,0.270
603172,万丰股份,2025-11-28,18.86,RSI 强势 (> 50),18.48,18.99,18.17,0.75X,51.94,-0.023,0.091
600589,大位科技,2025-11-28,7.87,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.45X) | RSI 强势 (> 50)",7.41,7.31,7.50,2.45X,62.44,0.021,-0.027
600127,金健米业,2025-11-28,6.86,多头排列 (MA5>MA20>MA60),6.99,6.95,6.87,0.55X,46.14,0.030,0.048
600118,中国卫星,2025-11-28,43.4,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",42.33,42.89,39.02,1.14X,56.68,0.600,0.869
603607,京华激光,2025-11-28,25.04,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.66X) | MACD 金叉 | RSI 强势 (> 50)",24.11,24.11,24.16,1.66X,57.27,0.052,-0.007
600828,茂业商业,2025-11-28,6.15,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.22X) | RSI 强势 (> 50)",5.13,4.47,4.30,2.22X,83.77,0.311,0.134
601333,广深铁路,2025-11-28,3.04,MACD 金叉,3.00,3.05,3.25,1.42X,41.23,-0.061,-0.065
603810,丰山集团,2025-11-28,17.37,RSI 强势 (> 50),16.78,17.52,16.45,0.83X,52.15,-0.039,0.103
603601,再升科技,2025-11-28,5.09,"价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",4.77,4.81,5.03,1.45X,58.97,-0.041,-0.067
601226,华电科工,2025-11-28,7.54,放量上涨 (1.65X) | RSI 强势 (> 50),7.30,7.67,7.41,1.65X,50.28,-0.058,0.009
600302,标准股份,2025-11-28,10.46,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",9.92,10.40,8.24,1.04X,59.30,0.379,0.516
600512,腾达建设,2025-11-28,2.56,RSI 强势 (> 50),2.51,2.59,2.54,1.17X,50.05,-0.011,0.002
603848,好太太,2025-11-28,19.49,MACD 金叉,19.42,20.29,23.00,0.44X,38.41,-0.674,-0.684
600826,兰生股份,2025-11-28,11.8,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),12.23,11.59,11.08,0.51X,54.58,0.320,0.276
600706,曲江文旅,2025-11-28,10.91,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",10.75,10.79,10.85,1.30X,53.27,0.046,0.046
603301,振德医疗,2025-11-28,79.28,RSI 强势 (> 50),78.38,85.67,62.18,1.03X,51.32,1.398,3.586
603700,宁水集团,2025-11-28,12.89,RSI 强势 (> 50),12.74,13.00,12.46,0.50X,53.09,0.063,0.126
601133,柏诚股份,2025-11-28,13.7,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",13.63,13.13,13.05,0.83X,61.07,0.190,0.105
600966,博汇纸业,2025-11-28,6.35,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",6.13,5.80,5.30,1.16X,70.62,0.260,0.223
600635,大众公用,2025-11-28,8.23,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",7.77,7.10,6.15,0.83X,65.70,0.390,0.282
600838,上海九百,2025-11-28,9.07,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",8.96,8.96,8.80,1.20X,56.11,0.055,0.067
603626,科森科技,2025-11-28,13.04,放量上涨 (1.57X) | RSI 强势 (> 50),12.30,12.66,13.73,1.57X,53.79,-0.233,-0.307
600774,汉商集团,2025-11-28,9.99,RSI 强势 (> 50),9.87,10.02,9.84,0.75X,51.97,0.010,0.037
600965,福成股份,2025-11-28,5.87,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",5.82,5.66,5.26,0.67X,59.96,0.181,0.188
603097,江苏华辰,2025-11-28,28.63,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",27.16,27.06,24.49,0.89X,60.41,0.493,0.507
601155,新城控股,2025-11-28,14.91,RSI 强势 (> 50),14.97,14.72,14.91,0.69X,51.03,0.063,0.036
600858,银座股份,2025-11-28,5.93,"价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",5.73,5.77,5.77,1.29X,57.91,0.013,0.012
603137,恒尚节能,2025-11-28,14.74,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",14.62,14.68,14.45,0.61X,54.03,0.062,0.088
000019,深粮控股,2025-11-27,7.09,多头排列 (MA5>MA20>MA60),7.43,7.23,6.97,0.60X,46.56,0.108,0.118
603983,丸美生物,2025-11-28,35.43,RSI 强势 (> 50),34.33,33.69,36.89,0.96X,55.47,-0.458,-0.850
600628,新世界,2025-11-28,7.69,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.55X) | RSI 强势 (> 50)",7.52,7.65,7.60,1.55X,54.35,0.000,0.019
600036,招商银行,2025-11-28,42.95,多头排列 (MA5>MA20>MA60) | RSI 强势 (> 50),43.05,42.89,42.09,0.85X,54.01,0.309,0.324
605058,澳弘电子,2025-11-28,30.1,"价格强势 (高于MA5,MA20,MA60) | MACD 金叉 | RSI 强势 (> 50)",29.07,29.23,29.32,1.15X,58.15,-0.159,-0.247
603179,新泉股份,2025-11-28,66.17,MACD 金叉,65.04,67.28,70.27,0.80X,47.78,-2.008,-2.156
1339,N/A,2025-11-17,100.782,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",100.58,100.58,99.93,0.44X,54.22,0.090,0.109
603619,中曼石油,2025-11-28,22.4,多头排列 (MA5>MA20>MA60),22.98,22.94,20.59,0.87X,49.92,0.710,0.927
601231,环旭电子,2025-11-28,22.31,"价格强势 (高于MA5,MA20,MA60) | RSI 强势 (> 50)",21.61,22.27,21.21,1.05X,52.63,-0.131,-0.039
603001,奥康国际,2025-11-28,10.0,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.13X) | MACD 金叉 | RSI 强势 (> 50)",9.13,9.07,8.79,2.13X,65.45,0.144,0.101
