Code,Name,Latest_Date,Latest_Close,Matched_Conditions,MA5,MA20,MA60,Volume_Ratio
603619,中曼石油,2025-11-28,22.4,多头排列 (MA5>MA20>MA60),22.98,22.94,20.59,0.87X
601231,环旭电子,2025-11-28,22.31,"价格强势 (高于MA5,MA20,MA60)",21.61,22.27,21.21,1.05X
603001,奥康国际,2025-11-28,10.0,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.13X)",9.13,9.07,8.79,2.13X
600573,惠泉啤酒,2025-11-28,12.15,"价格强势 (高于MA5,MA20,MA60)",11.86,11.93,11.78,1.23X
603269,海鸥股份,2025-11-28,12.51,放量上涨 (1.98X),11.97,12.18,12.56,1.98X
603,N/A,2025-11-28,20.97,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",20.62,20.09,19.98,0.92X
603026,石大胜华,2025-11-28,92.57,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",85.35,81.61,59.42,1.30X
600835,上海机电,2025-11-28,30.88,多头排列 (MA5>MA20>MA60),31.00,27.46,26.85,0.75X
600226,亨通股份,2025-11-28,4.45,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",4.39,4.31,4.23,1.11X
600105,永鼎股份,2025-11-28,16.42,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",16.07,15.04,13.45,0.78X
601007,金陵饭店,2025-11-28,7.79,"价格强势 (高于MA5,MA20,MA60)",7.67,7.67,7.67,1.32X
603730,岱美股份,2025-11-28,8.16,多头排列 (MA5>MA20>MA60),8.22,7.74,6.86,0.55X
600679,上海凤凰,2025-11-28,13.99,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",13.80,13.61,13.26,1.04X
003018,金富科技,2025-11-28,20.52,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",17.11,14.48,12.80,0.17X
603186,华正新材,2025-11-28,44.2,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",42.86,42.69,42.38,0.28X
605179,一鸣食品,2025-11-28,21.96,放量上涨 (1.63X),21.17,22.11,21.77,1.63X
601969,海南矿业,2025-11-28,11.65,"价格强势 (高于MA5,MA20,MA60)",11.51,11.51,9.61,0.81X
600880,博瑞传播,2025-11-28,5.39,多头排列 (MA5>MA20>MA60),5.40,5.20,5.03,0.61X
605300,佳禾食品,2025-11-28,12.5,放量上涨 (1.75X),12.26,12.27,12.54,1.75X
601177,杭齿前进,2025-11-28,17.13,放量上涨 (1.76X),16.80,17.10,18.03,1.76X
600436,片仔癀,2025-11-28,171.87,放量上涨 (1.55X),175.17,177.42,188.89,1.55X
000069,华侨城Ａ,2025-11-27,2.63,多头排列 (MA5>MA20>MA60),2.67,2.63,2.51,0.74X
601233,桐昆股份,2025-11-28,15.38,"价格强势 (高于MA5,MA20,MA60)",14.89,15.12,14.58,1.14X
600814,杭州解百,2025-11-28,7.72,"价格强势 (高于MA5,MA20,MA60)",7.56,7.59,7.63,1.41X
600331,宏达股份,2025-11-28,10.98,"价格强势 (高于MA5,MA20,MA60)",10.79,10.88,10.72,0.73X
603931,格林达,2025-11-28,34.22,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",32.91,31.12,29.35,1.34X
600037,歌华有线,2025-11-28,7.74,放量上涨 (1.54X),7.59,7.82,8.09,1.54X
600756,浪潮软件,2025-11-28,24.3,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",23.56,20.64,17.32,0.77X
601988,中国银行,2025-11-28,6.07,多头排列 (MA5>MA20>MA60),6.16,5.90,5.57,0.83X
603638,艾迪精密,2025-11-28,20.01,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",19.82,19.07,18.51,0.47X
600939,重庆建工,2025-11-28,3.82,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.04X)",3.59,3.71,3.50,2.04X
605016,百龙创园,2025-11-28,21.2,"价格强势 (高于MA5,MA20,MA60)",20.73,20.88,20.53,1.49X
603991,至正股份,2025-11-28,70.62,多头排列 (MA5>MA20>MA60),71.23,68.98,66.31,0.56X
600301,华锡有色,2025-11-28,38.68,多头排列 (MA5>MA20>MA60),38.87,34.40,32.12,0.43X
603999,读者传媒,2025-11-28,7.95,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.57X)",7.30,7.03,6.71,1.57X
600754,锦江酒店,2025-11-28,25.39,多头排列 (MA5>MA20>MA60),25.58,25.09,23.69,0.80X
603667,五洲新春,2025-11-28,44.9,"价格强势 (高于MA5,MA20,MA60)",43.77,44.67,43.97,1.10X
603106,恒银科技,2025-11-28,12.46,多头排列 (MA5>MA20>MA60),12.63,11.48,10.80,0.38X
603116,红蜻蜓,2025-11-28,6.16,"价格强势 (高于MA5,MA20,MA60)",6.07,6.10,5.96,0.81X
603600,永艺股份,2025-11-28,12.26,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",12.16,11.96,11.41,0.42X
603815,交建股份,2025-11-28,12.16,放量上涨 (1.55X),11.36,12.46,12.43,1.55X
600227,赤天化,2025-11-28,2.77,"价格强势 (高于MA5,MA20,MA60)",2.58,2.58,2.51,0.82X
